epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9588,0.51888,0.41374,0.91206,0.95583,0.8985,0.93611,0.84337,0.51046,0.4486,0.89382,0.000554235,0.000554235,0.000554235
2,121.782,0.57443,0.46145,0.92651,0.96142,0.88931,0.92973,0.83038,0.52829,0.46152,0.89323,0.00108793,0.00108793,0.00108793
3,177.455,0.60323,0.50302,0.94377,0.90716,0.82198,0.88316,0.76895,0.63354,0.63841,0.95342,0.00159961,0.00159961,0.00159961
4,240.53,0.617,0.5018,0.94479,0.94081,0.85506,0.90906,0.80699,0.57137,0.54533,0.91144,0.00156798,0.00156798,0.00156798
5,321.363,0.61179,0.49318,0.94725,0.95245,0.87288,0.92252,0.81419,0.57422,0.51192,0.91798,0.00153497,0.00153497,0.00153497
